item_id,order_id,product_id,quantity,price
I5092,O1046,P028,2,59.26
I5093,O1047,P040,1,12.78
I5094,O1047,P016,1,45.01
I5095,O1047,P048,1,92.62
I5096,O1048,P027,1,45.29
I5097,O1048,P045,1,21.42
I5098,O1048,P011,1,27.96
I5099,O1049,P024,1,38.7
I5100,O1049,P030,1,151.89
I5101,O1049,P036,1,21.91
I5102,O1050,P049,3,54.92
I5103,O1051,P009,2,95.1
I5104,O1051,P004,1,163.77
I5105,O1051,P041,1,33.49
I5106,O1051,P042,1,31.85
I5107,O1052,P044,1,65.0
I5108,O1053,P026,1,230.73
I5109,O1054,P023,1,37.56
I5110,O1054,P042,1,31.85
I5111,O1055,P023,1,37.56
I5112,O1055,P034,1,87.6
I5113,O1056,P030,1,151.89
I5114,O1056,P026,2,230.73
I5115,O1058,P005,1,944.79
I5116,O1058,P046,1,20.94
I5117,O1058,P044,1,65.0
I5118,O1059,P045,1,21.42
I5119,O1060,P004,1,163.77
I5120,O1062,P036,1,21.91
I5121,O1062,P026,1,230.73
I5122,O1062,P039,1,12.02
I5123,O1063,P030,1,151.89
I5124,O1064,P013,1,57.76
I5125,O1065,P016,1,45.01
I5126,O1066,P007,1,242.84
I5127,O1066,P043,1,68.9
I5128,O1066,P030,1,151.89
I5129,O1066,P040,1,12.78
I5130,O1068,P043,1,68.9
I5131,O1069,P016,1,45.01
I5132,O1069,P031,1,41.51
I5133,O1070,P011,1,27.96
I5134,O1070,P028,1,59.26
I5135,O1071,P025,1,207.07
I5136,O1071,P036,1,21.91
I5137,O1072,P025,1,207.07
I5138,O1072,P035,1,18.18
I5139,O1073,P037,1,70.0
I5140,O1074,P044,1,65.0
I5141,O1074,P031,1,41.51
I5142,O1075,P017,1,92.82
I5143,O1075,P010,1,89.0
I5144,O1075,P035,2,18.18
I5145,O1075,P016,3,45.01
I5146,O1076,P050,1,52.19
I5147,O1077,P043,1,68.9
I5148,O1077,P024,1,38.7
I5149,O1078,P024,1,38.7
I5150,O1079,P025,1,207.07
I5151,O1080,P048,1,92.62
I5152,O1080,P011,2,27.96
I5153,O1082,P027,1,45.29
I5154,O1082,P004,1,163.77
I5155,O1083,P011,1,27.96
I5156,O1083,P021,2,91.12
I5157,O1084,P017,2,92.82
I5158,O1085,P050,1,52.19
I5159,O1085,P023,1,37.56
I5160,O1085,P040,1,12.78
I5161,O1085,P045,1,21.42
I5162,O1086,P038,1,54.95
I5163,O1086,P006,1,799.47
I5164,O1087,P040,1,12.78
I5165,O1088,P039,1,12.02
I5166,O1089,P014,1,55.21
I5167,O1089,P008,2,237.58
I5168,O1089,P039,1,12.02
I5169,O1089,P048,3,92.62
I5170,O1090,P015,1,56.79
I5171,O1090,P028,3,59.26
I5172,O1090,P003,1,178.53
I5173,O1090,P036,2,21.91
I5174,O1090,P035,1,18.18
I5175,O1091,P022,1,93.94
I5176,O1092,P035,1,18.18
I5177,O1093,P022,1,93.94
I5178,O1093,P016,1,45.01
I5179,O1094,P046,2,20.94
I5180,O1094,P021,1,91.12
I5181,O1095,P046,1,20.94
I5182,O1096,P006,1,799.47
I5183,O1097,P003,1,178.53
I5184,O1098,P014,3,55.21
I5185,O1099,P048,1,92.62
I5186,O1099,P026,1,230.73
I5187,O1100,P024,1,38.7
I5188,O1101,P037,1,70.0
I5189,O1101,P033,2,75.1
I5190,O1101,P011,1,27.96
I5191,O1102,P014,1,55.21
I5192,O1103,P046,1,20.94
I5193,O1104,P028,1,59.26
I5194,O1105,P041,1,33.49
I5195,O1105,P033,1,75.1
I5196,O1106,P030,1,151.89
I5197,O1106,P011,2,27.96
I5198,O1106,P012,1,25.84
I5199,O1106,P049,1,54.92
I5200,O1107,P032,1,52.62
I5201,O1107,P046,1,20.94
I5202,O1108,P009,1,95.1
I5203,O1108,P047,1,100.81
I5204,O1111,P024,1,38.7
I5205,O1112,P037,1,70.0
I5206,O1113,P037,2,70.0
I5207,O1113,P035,1,18.18
I5208,O1113,P010,1,89.0
I5209,O1113,P031,1,41.51
I5210,O1113,P046,1,20.94
I5211,O1114,P038,1,54.95
I5212,O1115,P021,2,91.12
I5213,O1115,P032,1,52.62
I5214,O1115,P011,1,27.96
I5215,O1116,P004,1,163.77
I5216,O1116,P039,1,12.02
I5217,O1116,P041,3,33.49
I5218,O1117,P017,1,92.82
I5219,O1119,P001,1,909.71
I5220,O1119,P041,1,33.49
I5221,O1119,P046,2,20.94
I5222,O1120,P009,1,95.1
I5223,O1121,P032,1,52.62
I5224,O1122,P043,1,68.9
I5225,O1122,P048,1,92.62
I5226,O1122,P024,1,38.7
I5227,O1123,P034,1,87.6
I5228,O1124,P035,1,18.18
I5229,O1124,P022,1,93.94
I5230,O1124,P027,1,45.29
I5231,O1124,P045,2,21.42
I5232,O1125,P026,2,230.73
I5233,O1126,P041,1,33.49
I5234,O1126,P042,1,31.85
I5235,O1127,P014,1,55.21
I5236,O1127,P020,1,121.62
I5237,O1127,P023,2,37.56
I5238,O1129,P039,1,12.02
I5239,O1130,P010,1,89.0
I5240,O1130,P014,3,55.21
I5241,O1130,P049,1,54.92
I5242,O1131,P002,1,995.46
I5243,O1131,P022,1,93.94
I5244,O1132,P014,1,55.21
I5245,O1132,P038,1,54.95
I5246,O1132,P013,1,57.76
I5247,O1134,P023,1,37.56
I5248,O1135,P027,1,45.29
I5249,O1136,P016,1,45.01
I5250,O1137,P027,1,45.29
I5251,O1138,P009,1,95.1
I5252,O1139,P005,1,944.79
I5253,O1140,P016,1,45.01
I5254,O1140,P039,1,12.02
I5255,O1141,P023,1,37.56
I5256,O1141,P036,1,21.91
I5257,O1142,P037,1,70.0
I5258,O1142,P010,1,89.0
I5259,O1142,P035,1,18.18
I5260,O1142,P013,1,57.76
I5261,O1143,P038,1,54.95
I5262,O1144,P020,3,121.62
I5263,O1146,P041,1,33.49
I5264,O1147,P031,1,41.51
I5265,O1147,P005,1,944.79
I5266,O1148,P009,1,95.1
I5267,O1149,P048,1,92.62
I5268,O1150,P030,3,151.89
I5269,O1151,P031,1,41.51
I5270,O1152,P034,3,87.6
I5271,O1153,P015,2,56.79
I5272,O1153,P050,1,52.19
I5273,O1153,P018,1,107.15
I5274,O1153,P048,2,92.62
I5275,O1154,P037,1,70.0
I5276,O1154,P025,1,207.07
I5277,O1154,P012,1,25.84
I5278,O1155,P038,2,54.95
I5279,O1155,P049,1,54.92
I5280,O1156,P011,1,27.96
I5281,O1157,P043,1,68.9
I5282,O1158,P036,2,21.91
I5283,O1158,P015,1,56.79
I5284,O1159,P010,1,89.0
I5285,O1160,P050,1,52.19
I5286,O1161,P046,1,20.94
I5287,O1161,P018,3,107.15
I5288,O1161,P033,1,75.1
I5289,O1161,P031,1,41.51
I5290,O1161,P037,2,70.0
I5291,O1161,P005,1,944.79
I5292,O1161,P022,1,93.94
I5293,O1162,P026,1,230.73
I5294,O1163,P037,1,70.0
I5295,O1164,P010,1,89.0
I5296,O1165,P012,1,25.84
I5297,O1166,P018,1,107.15
I5298,O1166,P021,1,91.12
I5299,O1166,P043,1,68.9
I5300,O1167,P047,1,100.81
I5301,O1168,P045,1,21.42
I5302,O1168,P003,1,178.53
I5303,O1170,P036,1,21.91
I5304,O1171,P042,1,31.85
I5305,O1171,P011,1,27.96
I5306,O1172,P012,2,25.84
I5307,O1172,P034,1,87.6
I5308,O1173,P020,1,121.62
I5309,O1173,P039,1,12.02
I5310,O1174,P012,1,25.84
I5311,O1174,P037,1,70.0
I5312,O1175,P028,3,59.26
I5313,O1176,P049,1,54.92
I5314,O1177,P022,1,93.94
I5315,O1177,P028,1,59.26
I5316,O1177,P023,1,37.56
I5317,O1178,P013,1,57.76
I5318,O1178,P022,1,93.94
I5319,O1178,P041,1,33.49
I5320,O1179,P009,2,95.1
I5321,O1180,P027,1,45.29
I5322,O1180,P043,1,68.9
I5323,O1180,P008,1,237.58
I5324,O1180,P045,1,21.42
I5325,O1180,P016,1,45.01
I5326,O1180,P037,1,70.0
I5327,O1181,P009,1,95.1
I5328,O1182,P030,2,151.89
I5329,O1183,P034,1,87.6
I5330,O1184,P043,1,68.9
I5331,O1184,P048,1,92.62
I5332,O1185,P043,2,68.9
I5333,O1185,P044,1,65.0
I5334,O1185,P021,1,91.12
I5335,O1186,P043,1,68.9
I5336,O1186,P009,1,95.1
I5337,O1187,P015,2,56.79
I5338,O1187,P049,1,54.92
I5339,O1187,P043,1,68.9
I5340,O1188,P013,1,57.76
I5341,O1189,P027,1,45.29
I5342,O1189,P005,3,944.79
I5343,O1189,P028,1,59.26
I5344,O1190,P018,1,107.15
I5345,O1190,P009,1,95.1
I5346,O1191,P027,1,45.29
I5347,O1193,P004,1,163.77
I5348,O1193,P002,1,995.46
I5349,O1194,P049,1,54.92
I5350,O1194,P023,1,37.56
I5351,O1195,P033,1,75.1
I5352,O1196,P030,1,151.89
I5353,O1197,P040,1,12.78
I5354,O1198,P008,2,237.58
I5355,O1198,P040,1,12.78
I5356,O1199,P021,1,91.12
I5357,O1199,P045,1,21.42
I5358,O1200,P046,1,20.94
I5359,O1200,P022,1,93.94
I5360,O1200,P041,1,33.49
I5361,O1201,P010,2,89.0
I5362,O1201,P048,1,92.62
I5363,O1201,P023,1,37.56
I5364,O1201,P011,1,27.96
I5365,O1203,P023,1,37.56
I5366,O1203,P024,1,38.7
I5367,O1204,P014,1,55.21
I5368,O1205,P010,1,89.0
I5369,O1206,P023,1,37.56
I5370,O1207,P039,1,12.02
I5371,O1207,P042,1,31.85
I5372,O1207,P037,1,70.0
I5373,O1208,P040,2,12.78
I5374,O1209,P042,1,31.85
I5375,O1210,P016,1,45.01
I5376,O1210,P036,1,21.91
I5377,O1210,P003,1,178.53
I5378,O1211,P046,1,20.94
I5379,O1212,P045,1,21.42
I5380,O1213,P045,2,21.42
I5381,O1213,P011,1,27.96
I5382,O1213,P017,1,92.82
I5383,O1214,P031,1,41.51
I5384,O1214,P011,1,27.96
I5385,O1214,P050,1,52.19
I5386,O1215,P003,1,178.53
I5387,O1215,P001,1,909.71
I5388,O1215,P045,1,21.42
I5389,O1216,P036,1,21.91
I5390,O1217,P022,1,93.94
I5391,O1217,P001,1,909.71
I5392,O1217,P024,1,38.7
I5393,O1218,P028,1,59.26
I5394,O1218,P040,1,12.78
I5395,O1218,P023,1,37.56
I5396,O1218,P041,2,33.49
I5397,O1220,P050,1,52.19
I5398,O1221,P039,1,12.02
I5399,O1221,P016,1,45.01
I5400,O1222,P007,1,242.84
I5401,O1223,P015,1,56.79
I5402,O1223,P034,1,87.6
I5403,O1224,P024,1,38.7
I5404,O1224,P042,1,31.85
I5405,O1225,P022,1,93.94
I5406,O1225,P041,1,33.49
I5407,O1226,P050,1,52.19
I5408,O1226,P021,1,91.12
I5409,O1227,P036,1,21.91
I5410,O1227,P027,1,45.29
I5411,O1227,P043,1,68.9
I5412,O1228,P040,2,12.78
I5413,O1228,P031,3,41.51
I5414,O1228,P024,1,38.7
I5415,O1229,P036,1,21.91
I5416,O1229,P001,1,909.71
I5417,O1230,P032,1,52.62
I5418,O1230,P011,1,27.96
I5419,O1230,P025,2,207.07
I5420,O1231,P036,2,21.91
I5421,O1231,P010,2,89.0
I5422,O1231,P015,1,56.79
I5423,O1231,P028,1,59.26
I5424,O1232,P015,1,56.79
I5425,O1233,P039,1,12.02
I5426,O1234,P033,3,75.1
I5427,O1235,P023,1,37.56
I5428,O1235,P010,1,89.0
I5429,O1235,P039,1,12.02
I5430,O1236,P017,1,92.82
I5431,O1237,P046,1,20.94
I5432,O1238,P030,3,151.89
I5433,O1238,P012,1,25.84
I5434,O1238,P046,2,20.94
I5435,O1239,P024,2,38.7
I5436,O1240,P037,1,70.0
I5437,O1240,P028,3,59.26
I5438,O1241,P015,1,56.79
I5439,O1241,P046,1,20.94
I5440,O1242,P040,1,12.78
I5441,O1242,P017,2,92.82
I5442,O1243,P010,2,89.0
I5443,O1243,P009,1,95.1
I5444,O1244,P031,1,41.51
I5445,O1244,P016,2,45.01
I5446,O1245,P047,1,100.81
I5447,O1245,P004,1,163.77
I5448,O1246,P015,1,56.79
I5449,O1246,P047,1,100.81
I5450,O1246,P045,1,21.42
I5451,O1247,P031,2,41.51
I5452,O1248,P012,1,25.84
I5453,O1249,P023,1,37.56
I5454,O1251,P040,1,12.78
I5455,O1252,P002,1,995.46
I5456,O1252,P044,1,65.0
I5457,O1253,P011,1,27.96
I5458,O1254,P039,1,12.02
I5459,O1255,P014,1,55.21
I5460,O1255,P031,1,41.51
I5461,O1255,P022,1,93.94
I5462,O1256,P046,1,20.94
I5463,O1257,P024,2,38.7
I5464,O1257,P043,1,68.9
I5465,O1257,P029,1,150.37
I5466,O1257,P032,1,52.62
I5467,O1257,P010,1,89.0
I5468,O1258,P017,1,92.82
I5469,O1259,P036,1,21.91
I5470,O1260,P039,1,12.02
I5471,O1261,P038,1,54.95
I5472,O1262,P012,1,25.84
I5473,O1262,P050,1,52.19
I5474,O1263,P036,1,21.91
I5475,O1264,P028,1,59.26
I5476,O1265,P019,1,122.89
I5477,O1265,P032,1,52.62
I5478,O1266,P050,1,52.19
I5479,O1267,P017,1,92.82
I5480,O1268,P031,1,41.51
I5481,O1270,P024,1,38.7
I5482,O1270,P011,1,27.96
I5483,O1271,P005,1,944.79
I5484,O1272,P040,1,12.78
I5485,O1272,P022,1,93.94
I5486,O1273,P038,3,54.95
I5487,O1273,P014,1,55.21
I5488,O1274,P002,3,995.46
I5489,O1274,P045,1,21.42
I5490,O1274,P035,1,18.18
I5491,O1274,P037,1,70.0
I5492,O1275,P038,1,54.95
I5493,O1276,P044,1,65.0
I5494,O1277,P017,2,92.82
I5495,O1277,P045,1,21.42
I5496,O1277,P024,1,38.7
I5497,O1278,P014,1,55.21
I5498,O1279,P032,1,52.62
I5499,O1279,P011,3,27.96
I5500,O1280,P042,1,31.85
I5501,O1280,P023,2,37.56
I5502,O1281,P010,1,89.0
I5503,O1281,P002,1,995.46
I5504,O1281,P034,1,87.6
I5505,O1281,P040,1,12.78
I5506,O1281,P033,2,75.1
I5507,O1282,P009,1,95.1
I5508,O1282,P038,3,54.95
I5509,O1282,P035,1,18.18
I5510,O1282,P003,1,178.53
I5511,O1283,P050,1,52.19
I5512,O1283,P049,1,54.92
I5513,O1283,P031,2,41.51
I5514,O1285,P050,1,52.19
I5515,O1285,P048,1,92.62
I5516,O1286,P040,2,12.78
I5517,O1287,P009,1,95.1
I5518,O1287,P016,1,45.01
I5519,O1287,P021,1,91.12
I5520,O1287,P013,2,57.76
I5521,O1287,P017,3,92.82
I5522,O1288,P046,1,20.94
I5523,O1289,P010,3,89.0
I5524,O1290,P021,1,91.12
I5525,O1291,P013,1,57.76
I5526,O1292,P028,3,59.26
I5527,O1293,P015,1,56.79
I5528,O1294,P022,2,93.94
I5529,O1294,P010,1,89.0
I5530,O1294,P029,2,150.37
I5531,O1295,P017,3,92.82
I5532,O1296,P044,1,65.0
I5533,O1296,P043,1,68.9
I5534,O1297,P049,2,54.92
I5535,O1297,P048,1,92.62
I5536,O1298,P008,1,237.58
I5537,O1298,P043,1,68.9
I5538,O1298,P032,1,52.62
I5539,O1299,P050,1,52.19
I5540,O1300,P027,1,45.29
I5541,O1301,P044,1,65.0
I5542,O1301,P047,1,100.81
I5543,O1301,P014,1,55.21
I5544,O1302,P044,2,65.0
I5545,O1302,P033,2,75.1
I5546,O1302,P038,3,54.95
I5547,O1303,P040,1,12.78
I5548,O1305,P011,1,27.96
I5549,O1305,P042,1,31.85
I5550,O1306,P041,2,33.49
I5551,O1306,P040,1,12.78
I5552,O1307,P049,1,54.92
I5553,O1307,P045,3,21.42
I5554,O1309,P024,1,38.7
I5555,O1310,P041,1,33.49
I5556,O1311,P010,1,89.0
I5557,O1312,P032,2,52.62
I5558,O1312,P050,1,52.19
I5559,O1313,P029,1,150.37
I5560,O1313,P014,1,55.21
I5561,O1313,P003,1,178.53
I5562,O1314,P020,2,121.62
I5563,O1314,P004,1,163.77
I5564,O1315,P010,1,89.0
I5565,O1315,P034,1,87.6
I5566,O1316,P046,1,20.94
I5567,O1316,P035,1,18.18
I5568,O1316,P030,1,151.89
I5569,O1317,P024,1,38.7
I5570,O1317,P044,1,65.0
I5571,O1318,P005,1,944.79
I5572,O1319,P040,3,12.78
I5573,O1319,P035,1,18.18
I5574,O1320,P010,1,89.0
I5575,O1321,P032,2,52.62
I5576,O1321,P014,1,55.21
I5577,O1323,P025,1,207.07
I5578,O1324,P013,1,57.76
I5579,O1324,P042,1,31.85
I5580,O1324,P037,1,70.0
I5581,O1326,P013,1,57.76
I5582,O1327,P030,1,151.89
I5583,O1327,P036,1,21.91
I5584,O1327,P031,1,41.51
I5585,O1328,P012,1,25.84
I5586,O1329,P027,2,45.29
I5587,O1329,P019,1,122.89
I5588,O1330,P023,1,37.56
I5589,O1330,P015,1,56.79
I5590,O1330,P022,1,93.94
I5591,O1330,P038,1,54.95
I5592,O1331,P042,1,31.85
I5593,O1332,P042,1,31.85
I5594,O1333,P018,1,107.15
I5595,O1333,P041,1,33.49
I5596,O1334,P017,1,92.82
I5597,O1335,P037,3,70.0
I5598,O1336,P001,1,909.71
I5599,O1337,P049,1,54.92
I5600,O1339,P026,1,230.73
I5601,O1339,P025,1,207.07
I5602,O1340,P010,1,89.0
I5603,O1340,P003,1,178.53
I5604,O1340,P044,3,65.0
I5605,O1341,P010,1,89.0
I5606,O1341,P021,1,91.12
I5607,O1341,P027,3,45.29
I5608,O1341,P011,1,27.96
I5609,O1342,P027,2,45.29
I5610,O1342,P011,1,27.96
I5611,O1342,P050,2,52.19
I5612,O1343,P044,1,65.0
I5613,O1344,P048,1,92.62
I5614,O1346,P031,1,41.51
I5615,O1346,P040,1,12.78
I5616,O1347,P049,1,54.92
I5617,O1347,P028,1,59.26
I5618,O1347,P027,1,45.29
I5619,O1348,P040,3,12.78
I5620,O1348,P022,1,93.94
I5621,O1349,P016,1,45.01
I5622,O1349,P014,2,55.21
I5623,O1349,P046,1,20.94
I5624,O1350,P014,1,55.21
I5625,O1350,P011,1,27.96
I5626,O1350,P039,3,12.02
I5627,O1351,P024,1,38.7
I5628,O1351,P016,1,45.01
I5629,O1352,P017,1,92.82
I5630,O1353,P046,1,20.94
I5631,O1353,P021,1,91.12
I5632,O1353,P041,1,33.49
I5633,O1353,P045,1,21.42
I5634,O1354,P050,1,52.19
I5635,O1354,P039,1,12.02
I5636,O1354,P022,1,93.94
I5637,O1355,P011,1,27.96
I5638,O1355,P022,1,93.94
I5639,O1356,P037,1,70.0
I5640,O1357,P045,1,21.42
I5641,O1357,P002,1,995.46
I5642,O1358,P024,1,38.7
I5643,O1358,P044,3,65.0
I5644,O1359,P033,1,75.1
I5645,O1359,P001,1,909.71
I5646,O1359,P010,1,89.0
I5647,O1360,P024,1,38.7
I5648,O1360,P043,1,68.9
I5649,O1361,P034,3,87.6
I5650,O1361,P022,2,93.94
I5651,O1362,P050,1,52.19
I5652,O1362,P009,2,95.1
I5653,O1362,P042,1,31.85
I5654,O1364,P024,1,38.7
I5655,O1365,P037,1,70.0
I5656,O1366,P015,2,56.79
I5657,O1367,P036,2,21.91
I5658,O1367,P004,1,163.77
I5659,O1367,P029,2,150.37
I5660,O1367,P039,1,12.02
I5661,O1368,P035,1,18.18
I5662,O1368,P030,2,151.89
I5663,O1369,P048,1,92.62
I5664,O1370,P018,1,107.15
I5665,O1370,P021,2,91.12
I5666,O1371,P046,2,20.94
I5667,O1372,P037,2,70.0
I5668,O1372,P009,1,95.1
I5669,O1372,P015,1,56.79
I5670,O1373,P009,1,95.1
I5671,O1374,P026,1,230.73
I5672,O1375,P017,2,92.82
I5673,O1375,P033,1,75.1
I5674,O1375,P044,1,65.0
I5675,O1376,P039,1,12.02
I5676,O1376,P014,1,55.21
I5677,O1376,P041,1,33.49
I5678,O1376,P048,1,92.62
I5679,O1377,P040,2,12.78
I5680,O1378,P031,1,41.51
I5681,O1379,P001,1,909.71
I5682,O1380,P022,1,93.94
I5683,O1381,P023,1,37.56
I5684,O1381,P021,1,91.12
I5685,O1381,P044,1,65.0
I5686,O1381,P037,1,70.0
I5687,O1382,P002,1,995.46
I5688,O1383,P050,1,52.19
I5689,O1383,P011,2,27.96
I5690,O1384,P013,1,57.76
I5691,O1385,P043,1,68.9
I5692,O1385,P040,2,12.78
I5693,O1386,P016,1,45.01
I5694,O1386,P035,1,18.18
I5695,O1386,P024,1,38.7
I5696,O1387,P049,2,54.92
I5697,O1387,P001,1,909.71
I5698,O1388,P011,2,27.96
I5699,O1389,P013,1,57.76
I5700,O1389,P021,1,91.12
I5701,O1389,P028,1,59.26
I5702,O1390,P042,1,31.85
I5703,O1391,P028,1,59.26
I5704,O1391,P043,1,68.9
I5705,O1392,P008,1,237.58
I5706,O1393,P050,2,52.19
I5707,O1394,P031,2,41.51
I5708,O1395,P047,1,100.81
I5709,O1395,P050,1,52.19
I5710,O1395,P024,1,38.7
I5711,O1396,P013,1,57.76
I5712,O1396,P035,1,18.18
I5713,O1396,P031,2,41.51
I5714,O1398,P001,1,909.71
I5715,O1398,P032,1,52.62
I5716,O1398,P021,2,91.12
I5717,O1399,P019,3,122.89
I5718,O1399,P034,1,87.6
I5719,O1399,P003,1,178.53
I5720,O1400,P038,2,54.95
I5721,O1400,P035,2,18.18
I5722,O1401,P037,1,70.0
I5723,O1401,P028,1,59.26
I5724,O1402,P019,1,122.89
I5725,O1402,P037,1,70.0
I5726,O1402,P033,1,75.1
I5727,O1403,P009,1,95.1
I5728,O1403,P022,1,93.94
I5729,O1403,P011,1,27.96
I5730,O1404,P015,1,56.79
I5731,O1405,P041,1,33.49
I5732,O1406,P049,1,54.92
I5733,O1406,P024,1,38.7
I5734,O1407,P022,1,93.94
I5735,O1408,P044,1,65.0
I5736,O1408,P028,1,59.26
I5737,O1408,P023,1,37.56
I5738,O1409,P031,3,41.51
I5739,O1409,P036,1,21.91
I5740,O1410,P038,1,54.95
I5741,O1410,P049,1,54.92
I5742,O1410,P007,1,242.84
I5743,O1413,P048,3,92.62
I5744,O1414,P023,1,37.56
I5745,O1415,P004,1,163.77
I5746,O1415,P021,1,91.12
I5747,O1415,P009,1,95.1
I5748,O1415,P019,1,122.89
I5749,O1417,P025,1,207.07
I5750,O1417,P006,1,799.47
I5751,O1418,P042,1,31.85
I5752,O1418,P040,1,12.78
I5753,O1418,P006,1,799.47
I5754,O1419,P012,1,25.84
I5755,O1420,P022,1,93.94
I5756,O1420,P043,1,68.9
I5757,O1421,P021,1,91.12
I5758,O1423,P035,1,18.18
I5759,O1423,P022,1,93.94
I5760,O1424,P046,1,20.94
I5761,O1424,P038,1,54.95
I5762,O1425,P031,2,41.51
I5763,O1426,P005,1,944.79
I5764,O1427,P017,1,92.82
I5765,O1428,P023,1,37.56
I5766,O1428,P034,1,87.6
I5767,O1429,P034,2,87.6
I5768,O1429,P044,1,65.0
I5769,O1431,P001,2,909.71
I5770,O1432,P046,1,20.94
I5771,O1432,P014,1,55.21
I5772,O1432,P016,1,45.01
I5773,O1433,P042,1,31.85
I5774,O1433,P031,2,41.51
I5775,O1434,P022,2,93.94
I5776,O1435,P012,1,25.84
I5777,O1436,P011,1,27.96
I5778,O1437,P036,1,21.91
I5779,O1437,P032,1,52.62
I5780,O1438,P017,1,92.82
I5781,O1438,P040,1,12.78
I5782,O1439,P010,1,89.0
I5783,O1440,P041,1,33.49
I5784,O1441,P014,2,55.21
I5785,O1441,P050,1,52.19
I5786,O1443,P043,1,68.9
I5787,O1444,P034,1,87.6
I5788,O1444,P013,1,57.76
I5789,O1445,P044,1,65.0
I5790,O1445,P028,1,59.26
I5791,O1446,P010,2,89.0
I5792,O1446,P048,3,92.62
I5793,O1447,P048,1,92.62
I5794,O1447,P042,1,31.85
I5795,O1448,P043,1,68.9
I5796,O1448,P023,1,37.56
I5797,O1449,P050,2,52.19
I5798,O1450,P043,1,68.9
I5799,O1451,P014,1,55.21
I5800,O1451,P021,1,91.12
I5801,O1452,P011,1,27.96
I5802,O1453,P042,1,31.85
I5803,O1454,P045,1,21.42
I5804,O1454,P014,1,55.21
I5805,O1455,P046,1,20.94
I5806,O1455,P038,1,54.95
I5807,O1455,P022,3,93.94
I5808,O1455,P021,2,91.12
I5809,O1455,P050,1,52.19
I5810,O1455,P044,2,65.0
I5811,O1456,P010,2,89.0
I5812,O1456,P014,1,55.21
I5813,O1457,P007,2,242.84
I5814,O1457,P011,1,27.96
I5815,O1457,P014,1,55.21
I5816,O1458,P025,2,207.07
I5817,O1460,P046,1,20.94
I5818,O1460,P010,1,89.0
I5819,O1460,P013,1,57.76
I5820,O1461,P038,1,54.95
